ID,Gender,Ever_Married,Age,Graduated,Profession,Family_Size,Car Purchased,Country Of Origin,Year Of Purchase,Salary,Fuel Type,Language Spoken 
2200,Male,No,32,No,,5,Smart,Italy,2015,75000,Petrol,French
2201,Male,Yes,55,No,Artist,2,Ssangyong,China ,2016,30000,Petrol,Mandarin
2202,Male,Yes,66,Yes,Executive,2,Subaru,France,2017,30000,Petrol,English 
2203,Female,Yes,68,Yes,Artist,1,Suzuki,Italy,2018,15000,Petrol,French
2204,Male,No,21,No,,,Tesla,France,2016,32000,Electric,English 
2205,Female,No,39,Yes,Artist,,Toyota,UK,2017,32000,Petrol,English 
2206,Female,No,26,Yes,Healthcare,2,TVR,UK,2018,30000,Petrol,English 
2207,Male,No,22,No,Healthcare,,Vauxhall,USA,2008,32000,Petrol,English 
2208,Male,No,20,No,Healthcare,4,Volkswagen,Germany ,2009,60000,Petrol,German
2209,Female,Yes,50,Yes,Doctor,3,Volvo,USA,2010,45000,Petrol,English 
2210,Female,Yes,84,Yes,Artist,2,Maker,Germany ,2011,30000,Petrol,German
2211,Male,No,43,Yes,Artist,5,Lexus,USA,2010,75000,Petrol,English 
2212,Female,Yes,63,Yes,Entertainment,4,Alfa Romeo,Germany ,2011,60000,Petrol,German
2213,Male,No,37,Yes,Entertainment,1,Aston Martin,USA,2012,15000,Petrol,English 
2214,Male,Yes,31,No,Engineer,3,Audi,Germany ,2013,45000,Petrol,German
2215,Male,No,26,No,Entertainment,3,Bentley,USA,2020,45000,Diesel,English 
2216,Male,Yes,41,Yes,Entertainment,3,BMW,Germany ,2021,45000,Electric,German
2217,Female,Yes,62,Yes,Artist,2,Cadillac,USA,2020,30000,Electric,English 
2218,Male,Yes,45,Yes,Executive,4,Chevrolet,Germany ,2021,60000,Electric,German
2219,Female,Yes,28,No,Engineer,3,Chrysler,USA,2016,45000,Petrol,English 
2220,Female,Yes,89,Yes,Lawyer,2,Citroen,Mexico,2017,30000,Petrol,English 
2221,Male,No,20,No,Healthcare,4,Corvette,Malaysia,2018,60000,Petrol,English 
2222,Female,No,40,Yes,Engineer,2,Hyundai,Japan,2019,30000,Hybrid,English 
2223,Male,No,23,No,Healthcare,4,Daewoo,Canada,2009,60000,Petrol,English 
2224,Male,No,41,Yes,Artist,1,Daihatsu,China ,2010,15000,Petrol,Mandarin
2225,Male,Yes,78,No,Lawyer,2,Dodge,India,2011,30000,Petrol,English 
2226,Female,No,43,Yes,Engineer,1,Kia,Italy,2012,15000,Petrol,French
2227,Female,Yes,57,Yes,Artist,4,Ferrari,China ,2013,60000,Petrol,Mandarin
2228,Male,Yes,55,Yes,Executive,3,Fiat,France,2014,45000,Petrol,English 
2229,Female,No,27,Yes,Engineer,1,Ford,Italy,2015,15000,Petrol,French
2230,Male,Yes,51,Yes,Executive,4,Honda,France,2016,60000,Petrol,English 
2231,Male,Yes,35,Yes,Executive,4,Honda,UK,2010,60000,Petrol,English 
2232,Male,Yes,49,Yes,Entertainment,3,Hyundai,UK,2011,45000,Petrol,English 
2233,Female,No,33,Yes,Healthcare,2,Infiniti,USA,2012,30000,Petrol,English 
2234,Female,Yes,60,Yes,Artist,2,Isuzu,Germany ,2013,30000,Petrol,German
2235,Male,Yes,52,Yes,Artist,3,Jaguar,USA,2014,45000,Petrol,English 
2236,Female,No,42,Yes,Artist,2,Jeep,Germany ,2015,30000,Petrol,German
2237,Female,No,28,Yes,Marketing,3,Kia,USA,2016,45000,Petrol,English 
2238,Female,Yes,43,Yes,Artist,3,Lamborghini,Germany ,2012,45000,Petrol,German
2239,Male,No,25,Yes,Healthcare,4,Land Rover,USA,2013,60000,Petrol,English 
2240,Female,Yes,51,Yes,Artist,2,Lexus,Germany ,2014,30000,Petrol,German
2241,Male,Yes,42,Yes,Artist,3,Lotus,USA,2015,45000,Petrol,English 
2242,Male,No,20,No,Healthcare,5,Maserati,Germany ,2016,75000,Petrol,German
2243,Male,,80,No,Lawyer,1,Maybach,USA,2017,15000,Petrol,English 
2244,Female,Yes,41,Yes,Artist,4,Mazda,Germany ,2018,60000,Petrol,German
2245,Female,Yes,71,Yes,Lawyer,2,McLaren,USA,2016,30000,Petrol,English 
2246,Female,Yes,42,Yes,Artist,2,Mercedes-Benz,Mexico,2017,30000,Petrol,English 
2247,Male,Yes,56,Yes,Artist,2,MG,Malaysia,2018,30000,Petrol,English 
2248,Female,Yes,41,Yes,Healthcare,2,MINI,Japan,2008,30000,Petrol,English 
2249,Male,Yes,72,Yes,Entertainment,2,Mitsubishi,Canada,2009,30000,Petrol,English 
2250,Female,No,30,No,Entertainment,4,Nissan,China ,2010,60000,Petrol,Mandarin
2251,Female,No,25,Yes,Entertainment,6,Nissan,India,2011,90000,Petrol,English 
2252,Male,No,33,Yes,Marketing,4,Peugeot,Italy,2010,60000,Petrol,French
2253,Male,No,26,Yes,Artist,,Porsche,China ,2011,32000,Petrol,Mandarin
2254,Male,Yes,38,No,Executive,3,Proton,France,2012,45000,Petrol,English 
2255,Male,Yes,60,Yes,Lawyer,2,Renault,Italy,2013,30000,Petrol,French
2256,Female,Yes,79,No,Lawyer,3,Rolls-Royce,France,2020,45000,Electric,English 
2257,Female,No,38,Yes,Marketing,4,Rover,UK,2021,60000,Electric,English 
2258,Male,Yes,56,Yes,Artist,1,Saab,UK,2020,15000,Electric,English 
2259,Male,Yes,73,No,Homemaker,1,SEAT,USA,2021,15000,Electric,English 
2260,Female,No,22,No,Healthcare,7,SKODA,Germany ,2016,105000,Petrol,German
2261,Male,Yes,42,No,Marketing,3,Smart,USA,2017,45000,Petrol,English 
2262,Male,Yes,72,No,Lawyer,2,Ssangyong,Germany ,2018,30000,Petrol,German
2263,Female,No,33,Yes,Healthcare,3,Subaru,USA,2019,45000,Hybrid,English 
2264,Male,Yes,53,Yes,Executive,4,Suzuki,Germany ,2009,60000,Petrol,German
2265,Female,No,25,No,Healthcare,5,Tesla,USA,2010,75000,Electric,English 
2266,Male,Yes,46,Yes,Artist,3,Toyota,Germany ,2011,45000,Petrol,German
2267,Male,No,18,No,Healthcare,3,TVR,USA,2012,45000,Petrol,English 
2268,Female,No,60,Yes,Engineer,1,Vauxhall,Germany ,2013,15000,Petrol,German
2269,Male,No,22,No,Doctor,4,Volkswagen,USA,2014,60000,Petrol,English 
2270,Male,No,22,No,Healthcare,5,Volvo,Germany ,2015,75000,Petrol,German
2271,Male,No,18,No,Healthcare,5,Maker,USA,2016,75000,Petrol,English 
2272,Male,Yes,39,Yes,Doctor,3,Lexus,Mexico,2010,45000,Petrol,English 
2273,Male,No,19,No,Healthcare,5,Alfa Romeo,Malaysia,2011,75000,Petrol,English 
2274,Female,No,30,No,Artist,1,Aston Martin,Japan,2012,15000,Petrol,English 
2275,Male,No,23,No,Healthcare,5,Audi,Canada,2013,75000,Petrol,English 
2276,Male,No,23,No,Healthcare,7,Bentley,China ,2014,105000,Petrol,Mandarin
2277,Female,No,48,Yes,Artist,1,BMW,India,2015,15000,Diesel,English 
2278,Male,Yes,39,Yes,Artist,1,Cadillac,Italy,2016,15000,Petrol,French
2279,Female,No,56,Yes,Artist,1,Chevrolet,China ,2012,15000,Petrol,Mandarin
2280,Male,Yes,63,No,Artist,2,Chrysler,France,2013,30000,Petrol,English 
2281,Female,Yes,71,No,Engineer,4,Citroen,Italy,2014,60000,Petrol,French
2282,Female,Yes,70,Yes,Entertainment,2,Corvette,France,2015,30000,Petrol,English 
2283,Male,Yes,84,No,Lawyer,1,Hyundai,UK,2016,15000,Petrol,English 
2284,Male,Yes,39,Yes,Executive,6,Daewoo,UK,2017,90000,Petrol,English 
2285,Male,Yes,42,Yes,Artist,4,Daihatsu,USA,2018,60000,Petrol,English 
2286,Male,Yes,46,Yes,Artist,2,Dodge,Germany ,2016,30000,Petrol,German
2287,Male,Yes,63,No,Executive,3,Kia,USA,2017,45000,Petrol,English 
2288,Female,Yes,55,No,Artist,3,Ferrari,Germany ,2018,45000,Petrol,German
2289,Male,Yes,42,Yes,Engineer,2,Fiat,USA,2008,30000,Petrol,English 
2290,Female,Yes,58,Yes,Artist,2,Ford,Germany ,2009,30000,Petrol,German
2291,Female,Yes,88,Yes,Lawyer,1,Honda,USA,2010,15000,Petrol,English 
2292,Male,Yes,43,Yes,Artist,2,Honda,Germany ,2011,30000,Petrol,German
2293,Male,Yes,73,Yes,Executive,3,Hyundai,USA,2010,45000,Petrol,English 
2294,Male,Yes,35,Yes,Entertainment,,Infiniti,Germany ,2011,32000,Petrol,German
2295,Male,No,30,No,Healthcare,5,Isuzu,USA,2012,75000,Diesel,English 
2296,Male,Yes,30,No,Doctor,2,Jaguar,Germany ,2013,30000,Diesel,German
2297,Male,Yes,46,Yes,Healthcare,3,Jeep,USA,2020,45000,Electric,English 
2298,Female,Yes,43,Yes,Artist,2,Kia,Mexico,2021,30000,Electric,English 
2299,Female,Yes,36,No,Entertainment,3,Lamborghini,Malaysia,2020,45000,Electric,English 
2300,Female,Yes,47,Yes,,1,Land Rover,Japan,2021,15000,Electric,English 
2301,Male,Yes,63,Yes,Entertainment,1,Lexus,Canada,2016,15000,Diesel,English 
2302,Male,Yes,35,Yes,Artist,2,Lotus,China ,2017,30000,Diesel,Mandarin
2303,Female,No,31,Yes,Artist,2,Maserati,India,2018,30000,Diesel,English 
2304,Female,Yes,45,Yes,Artist,4,Maybach,Italy,2019,60000,Diesel,French
2305,Male,No,26,No,Executive,2,Mazda,China ,2009,30000,Diesel,Mandarin
2306,Male,Yes,37,No,Doctor,2,McLaren,France,2010,30000,Diesel,English 
2307,Female,Yes,26,No,Doctor,2,Mercedes-Benz,Italy,2011,30000,Diesel,French
2308,Male,Yes,37,No,Entertainment,5,MG,France,2012,75000,Diesel,English 
2309,Female,Yes,53,Yes,Artist,3,MINI,UK,2013,45000,Diesel,English 
2310,Female,No,55,Yes,Artist,1,Mitsubishi,UK,2014,15000,Diesel,English 
2311,Male,Yes,42,Yes,Executive,6,Nissan,USA,2015,90000,Diesel,English 
2312,Female,Yes,46,Yes,Artist,2,Nissan,Germany ,2016,30000,Diesel,German
2313,Male,Yes,30,Yes,Healthcare,6,Peugeot,USA,2010,90000,Diesel,English 
2314,Male,No,63,Yes,Artist,1,Porsche,Germany ,2011,15000,Diesel,German
2315,Male,Yes,52,Yes,Entertainment,4,Proton,USA,2012,60000,Diesel,English 
2316,Female,No,28,Yes,Doctor,2,Renault,Germany ,2013,30000,Diesel,German
2317,Female,No,20,No,Healthcare,5,Rolls-Royce,USA,2014,75000,Diesel,English 
2318,Male,Yes,60,Yes,Executive,3,Rover,Germany ,2015,45000,Diesel,German
2319,Male,Yes,42,Yes,Healthcare,4,Saab,USA,2016,60000,Diesel,English 
2320,Male,Yes,46,Yes,Doctor,6,SEAT,Germany ,2012,90000,Diesel,German
2321,Male,Yes,37,Yes,Artist,2,SKODA,USA,2013,30000,Diesel,English 
2322,Female,No,42,Yes,Artist,1,Smart,Germany ,2014,15000,Diesel,German
2323,Female,Yes,46,Yes,Artist,4,Ssangyong,USA,2015,60000,Diesel,English 
2324,Male,Yes,49,No,Healthcare,7,Subaru,Mexico,2016,105000,Diesel,English 
2325,Female,Yes,89,No,Lawyer,2,Suzuki,Malaysia,2017,30000,Diesel,English 
2326,Female,Yes,38,No,Entertainment,1,Tesla,Japan,2018,15000,Electric,English 
2327,Male,Yes,48,Yes,Artist,2,Toyota,Canada,2016,30000,Diesel,English 
2328,Female,Yes,51,Yes,Artist,4,TVR,China ,2017,60000,Diesel,Mandarin
2329,Male,Yes,73,Yes,Artist,2,Vauxhall,India,2018,30000,Diesel,English 
2330,Male,No,30,Yes,Healthcare,4,Volkswagen,Italy,2008,60000,Diesel,French
2331,Female,Yes,46,Yes,Artist,,Volvo,China ,2009,32000,Diesel,Mandarin
2332,Female,Yes,65,Yes,Lawyer,2,Maker,France,2010,30000,Petrol,English 
2333,Female,No,36,No,Artist,1,Lexus,Italy,2011,15000,Petrol,French
2334,Female,No,25,Yes,Healthcare,3,Alfa Romeo,France,2010,45000,Petrol,English 
2335,Female,No,31,No,,3,Aston Martin,UK,2011,45000,Petrol,English 
2336,Male,Yes,43,Yes,Executive,4,Audi,UK,2012,60000,Petrol,English 
2337,Female,Yes,33,Yes,Homemaker,2,Bentley,USA,2013,30000,Petrol,English 
2338,Male,No,30,Yes,Entertainment,1,BMW,Germany ,2020,15000,Electric,German
2339,Female,,21,No,Healthcare,4,Cadillac,USA,2021,60000,Hybrid,English 
2340,Female,No,25,Yes,Engineer,2,Chevrolet,Germany ,2020,30000,Hybrid,German
2341,Male,Yes,49,Yes,Artist,4,Chrysler,USA,2021,60000,Hybrid,English 
2342,Female,No,31,Yes,Artist,1,Citroen,Germany ,2016,15000,Petrol,German
2343,Male,,33,No,Healthcare,3,Corvette,USA,2017,45000,Petrol,English 
2344,Female,No,27,Yes,Doctor,8,Hyundai,Germany ,2018,120000,Petrol,German
2345,Female,No,33,Yes,Entertainment,3,Daewoo,USA,2019,45000,Hybrid,English 
2346,Male,Yes,35,Yes,Artist,2,Daihatsu,Germany ,2009,30000,Petrol,German
2347,Male,No,19,No,Healthcare,5,Dodge,USA,2010,75000,Petrol,English 
2348,Female,Yes,25,No,Marketing,5,Kia,Germany ,2011,75000,Petrol,German
2349,Male,Yes,57,No,Executive,4,Ferrari,USA,2012,60000,Petrol,English 
2350,Male,Yes,45,No,Executive,4,Fiat,Mexico,2013,60000,Petrol,English 
2351,Female,Yes,47,No,Homemaker,3,Ford,Malaysia,2014,45000,Petrol,English 
2352,Male,Yes,20,,Marketing,3,Honda,Japan,2015,45000,Petrol,Japanese
2353,Female,No,33,Yes,Doctor,2,Honda,Canada,2016,30000,Petrol,English 
2354,Male,Yes,45,Yes,Artist,1,Hyundai,China ,2010,15000,Petrol,Mandarin
2355,Male,No,27,No,Healthcare,3,Infiniti,India,2011,45000,Petrol,English 
2356,Female,Yes,38,Yes,Engineer,1,Isuzu,Italy,2012,15000,Petrol,French
2357,Female,No,38,No,Engineer,3,Jaguar,China ,2013,45000,Petrol,Mandarin
2358,Male,No,87,No,Lawyer,1,Jeep,France,2014,15000,Petrol,English 
2359,Male,No,30,Yes,Doctor,3,Kia,Italy,2015,45000,Petrol,French
2360,Male,Yes,57,Yes,Entertainment,7,Lamborghini,France,2016,105000,Petrol,English 
2361,Female,Yes,63,Yes,Artist,2,Land Rover,UK,2012,30000,Petrol,English 
2362,Male,No,50,No,Doctor,3,Lexus,UK,2013,45000,Petrol,English 
2363,Male,Yes,68,Yes,Executive,2,Lotus,USA,2014,30000,Petrol,English 
2364,Female,Yes,33,No,Entertainment,2,Maserati,Germany ,2015,30000,Petrol,German
2365,Female,Yes,37,Yes,Doctor,2,Maybach,USA,2016,30000,Petrol,English 
2366,Female,No,25,No,Engineer,6,Mazda,Germany ,2017,90000,Petrol,German
2367,Female,No,29,No,Engineer,5,McLaren,USA,2018,75000,Petrol,English 
2368,Female,No,32,Yes,Healthcare,2,Mercedes-Benz,Germany ,2016,30000,Petrol,German
2369,Female,Yes,68,No,Engineer,1,MG,USA,2017,15000,Petrol,English 
2370,Male,Yes,86,Yes,Lawyer,2,MINI,Germany ,2018,30000,Petrol,German
2371,Male,Yes,49,Yes,Artist,3,Mitsubishi,USA,2008,45000,Petrol,English 
2372,Female,Yes,32,Yes,Homemaker,2,Nissan,Germany ,2009,30000,Petrol,German
2373,Male,Yes,28,Yes,Healthcare,4,Nissan,USA,2010,60000,Petrol,English 
2374,Female,No,26,Yes,Homemaker,,Peugeot,Germany ,2011,32000,Petrol,German
2375,Male,Yes,83,No,Lawyer,1,Porsche,USA,2010,15000,Petrol,English 
2376,Female,No,63,Yes,Artist,1,Proton,Mexico,2011,15000,Petrol,English 
2377,Male,Yes,65,No,Lawyer,2,Renault,Malaysia,2012,30000,Petrol,English 
2378,Female,Yes,38,Yes,Artist,3,Rolls-Royce,Japan,2013,45000,Petrol,Japanese
2379,Male,Yes,61,Yes,Entertainment,1,Rover,Canada,2020,15000,Hybrid,English 
2380,Female,Yes,46,Yes,Artist,2,Saab,China ,2021,30000,Hybrid,Mandarin
2381,Female,No,30,Yes,Doctor,2,SEAT,India,2020,30000,Hybrid,English 
2382,Male,Yes,46,,Entertainment,5,SKODA,Italy,2021,75000,Hybrid,French
2383,Male,No,53,No,Entertainment,,Smart,China ,2016,32000,Petrol,Mandarin
2384,Male,No,22,No,Healthcare,5,Ssangyong,France,2017,75000,Petrol,English 
2385,Female,Yes,42,Yes,Artist,2,Subaru,Italy,2018,30000,Petrol,French
2386,Female,Yes,57,Yes,Doctor,7,Suzuki,France,2019,105000,Hybrid,English 
2387,Female,Yes,49,No,Engineer,2,Tesla,UK,2009,30000,Electric,English 
2388,Female,No,25,No,Artist,3,Toyota,UK,2010,45000,Petrol,English 
2389,Female,No,31,Yes,Engineer,1,TVR,USA,2011,15000,Petrol,English 
2390,Male,No,25,No,Healthcare,5,Vauxhall,Germany ,2012,75000,Petrol,German
2391,Male,No,33,Yes,Healthcare,5,Volkswagen,USA,2013,75000,Petrol,English 
2392,Male,No,29,Yes,Healthcare,6,Volvo,Germany ,2014,90000,Petrol,German
2393,Male,Yes,38,Yes,Artist,4,Maker,USA,2015,60000,Petrol,English 
2394,Male,Yes,62,Yes,Executive,2,Lexus,Germany ,2016,30000,Petrol,German
2395,Male,Yes,59,No,Engineer,1,Alfa Romeo,USA,2010,15000,Petrol,English 
2396,Female,Yes,27,Yes,Entertainment,5,Aston Martin,Germany ,2011,75000,Petrol,German
2397,Female,Yes,51,Yes,Artist,3,Audi,USA,2012,45000,Petrol,English 
2398,Male,No,59,No,Entertainment,3,Bentley,Germany ,2013,45000,Petrol,German
2399,Female,Yes,78,No,Homemaker,1,BMW,USA,2014,15000,Diesel,English 
2400,Female,No,37,Yes,Artist,1,Cadillac,Germany ,2015,15000,Petrol,German
2401,Male,Yes,37,Yes,Executive,4,Chevrolet,USA,2016,60000,Petrol,English 
2402,Male,Yes,30,No,Artist,2,Chrysler,Mexico,2012,30000,Petrol,English 
2403,Male,Yes,43,Yes,Entertainment,2,Citroen,Malaysia,2013,30000,Petrol,English 
2404,Male,No,40,Yes,Artist,2,Corvette,Japan,2014,30000,Petrol,Japanese
2405,Female,No,40,Yes,Artist,2,Hyundai,Canada,2015,30000,Petrol,English 
2406,Female,No,30,No,Engineer,5,Daewoo,China ,2016,75000,Petrol,Mandarin
2407,Female,Yes,40,Yes,Artist,2,Daihatsu,India,2017,30000,Petrol,English 
2408,Female,Yes,62,Yes,Artist,3,Dodge,Italy,2018,45000,Petrol,French
2409,Male,No,22,No,Healthcare,8,Kia,China ,2016,120000,Petrol,Mandarin
2410,Female,Yes,66,Yes,Lawyer,2,Ferrari,France,2017,30000,Petrol,English 
2411,Male,Yes,67,Yes,Artist,1,Fiat,Italy,2018,15000,Petrol,French
2412,Male,Yes,50,Yes,Artist,3,Ford,France,2008,45000,Petrol,English 
2413,Male,No,27,No,Healthcare,3,Honda,UK,2009,45000,Petrol,English 
2414,Male,No,28,Yes,Doctor,3,Honda,UK,2010,45000,Petrol,English 
2415,Male,Yes,45,Yes,Doctor,2,Hyundai,USA,2011,30000,Petrol,English 
2416,Male,Yes,59,Yes,Artist,2,Infiniti,Germany ,2010,30000,Petrol,German
2417,Male,No,19,No,Healthcare,2,Isuzu,USA,2011,30000,Petrol,English 
2418,Male,Yes,62,Yes,Artist,4,Jaguar,Germany ,2012,60000,Petrol,German
2419,Female,No,72,Yes,Lawyer,,Jeep,USA,2013,32000,Petrol,English 
2420,Male,No,19,No,Healthcare,4,Kia,Germany ,2020,60000,Hybrid,German
2421,Female,No,28,Yes,Entertainment,3,Lamborghini,USA,2021,45000,Hybrid,English 
2422,Male,No,25,No,Doctor,4,Land Rover,Germany ,2020,60000,Hybrid,German
2423,Male,Yes,36,Yes,Entertainment,2,Lexus,USA,2021,30000,Hybrid,English 
2424,Female,No,33,Yes,Healthcare,2,Lotus,Germany ,2016,30000,Petrol,German
2425,Male,Yes,59,No,Entertainment,4,Maserati,USA,2017,60000,Petrol,English 
2426,Male,No,20,No,Healthcare,4,Maybach,Germany ,2018,60000,Petrol,German
2427,Male,No,23,No,Healthcare,5,Mazda,USA,2019,75000,Hybrid,English 
2428,Male,Yes,27,No,,6,McLaren,Mexico,2009,90000,Petrol,English 
2429,Female,No,46,Yes,Artist,2,Mercedes-Benz,Malaysia,2010,30000,Petrol,English 
2430,Female,Yes,74,No,Lawyer,2,MG,Japan,2011,30000,Petrol,Japanese
2431,Male,No,26,No,Doctor,1,MINI,Canada,2012,15000,Petrol,English 
2432,Male,Yes,76,Yes,Artist,1,Mitsubishi,China ,2013,15000,Petrol,Mandarin
2433,Male,No,41,Yes,Artist,3,Nissan,India,2014,45000,Petrol,English 
2434,Female,No,32,No,Marketing,,Nissan,Italy,2015,32000,Petrol,French
2435,Female,Yes,30,No,Artist,2,Peugeot,China ,2016,30000,Petrol,Mandarin
2436,Male,Yes,70,No,Lawyer,2,Porsche,France,2010,30000,Petrol,English 
2437,Male,Yes,50,Yes,Artist,3,Proton,Italy,2011,45000,Petrol,French
2438,Male,Yes,39,No,Executive,4,Renault,France,2012,60000,Petrol,English 
2439,Female,Yes,42,Yes,Artist,2,Rolls-Royce,UK,2013,30000,Petrol,English 
2440,Female,Yes,40,Yes,Artist,3,Rover,UK,2014,45000,Petrol,English 
2441,Female,Yes,39,Yes,Homemaker,1,Saab,USA,2015,15000,Petrol,English 
2442,Female,Yes,88,Yes,Lawyer,2,SEAT,Germany ,2016,30000,Petrol,German
2443,Female,No,43,Yes,Artist,1,SKODA,USA,2012,15000,Petrol,English 
2444,Male,No,19,No,Healthcare,3,Smart,Germany ,2013,45000,Petrol,German
2445,Female,Yes,45,No,Artist,1,Ssangyong,USA,2014,15000,Petrol,English 
2446,Female,,30,Yes,,4,Subaru,Germany ,2015,60000,Petrol,German
2447,Female,Yes,39,,Doctor,1,Suzuki,USA,2016,15000,Petrol,English 
2448,Female,No,35,Yes,Healthcare,1,Tesla,Germany ,2017,15000,Electric,German
2449,Male,Yes,53,Yes,Doctor,3,Toyota,USA,2018,45000,Petrol,English 
2450,Male,No,21,No,Healthcare,4,TVR,Germany ,2016,60000,Petrol,German
2451,Female,No,22,,Entertainment,3,Vauxhall,USA,2017,45000,Petrol,English 
2452,Male,Yes,38,No,Artist,3,Volkswagen,Germany ,2018,45000,Petrol,German
2453,Male,Yes,36,Yes,Executive,3,Volvo,USA,2008,45000,Petrol,English 
2454,Male,Yes,63,Yes,Artist,4,Maker,Mexico,2009,60000,Petrol,English 
2455,Male,No,31,Yes,Artist,2,Lexus,Malaysia,2010,30000,Petrol,English 
2456,Male,No,25,No,Entertainment,1,Alfa Romeo,Japan,2011,15000,Petrol,Japanese
2457,Male,Yes,52,Yes,Entertainment,2,Aston Martin,Canada,2010,30000,Petrol,English 
2458,Male,No,19,No,Healthcare,4,Audi,China ,2011,60000,Petrol,Mandarin
2459,Female,No,35,Yes,Healthcare,1,Bentley,India,2012,15000,Petrol,English 
2460,Female,No,30,No,Healthcare,4,BMW,Italy,2013,60000,Diesel,French
2461,Female,Yes,59,Yes,Artist,5,Cadillac,China ,2020,75000,Hybrid,Mandarin
2462,Female,No,25,No,Engineer,3,Chevrolet,France,2021,45000,Hybrid,English 
2463,Male,Yes,77,Yes,Lawyer,1,Chrysler,Italy,2020,15000,Hybrid,French
2464,Female,Yes,58,Yes,Doctor,2,Citroen,France,2021,30000,Hybrid,English 
2465,Female,Yes,38,Yes,Artist,4,Corvette,UK,2016,60000,Petrol,English 
2466,Male,Yes,29,No,Marketing,4,Hyundai,UK,2017,60000,Petrol,English 
2467,Male,Yes,56,Yes,Artist,3,Daewoo,USA,2018,45000,Petrol,English 
2468,Female,No,37,Yes,Entertainment,2,Daihatsu,Germany ,2019,30000,Hybrid,German
2469,Male,Yes,49,Yes,Doctor,4,Dodge,USA,2009,60000,Petrol,English 
2470,Female,No,41,Yes,Artist,1,Kia,Germany ,2010,15000,Petrol,German
2471,Male,,55,Yes,Artist,3,Ferrari,USA,2011,45000,Petrol,English 
2472,Male,No,28,Yes,Doctor,1,Fiat,Germany ,2012,15000,Petrol,German
2473,Female,No,35,No,Engineer,2,Ford,USA,2013,30000,Petrol,English 
2474,Male,No,23,No,Healthcare,3,Honda,Germany ,2014,45000,Petrol,German
2475,Female,Yes,43,Yes,Artist,2,Honda,USA,2015,30000,Petrol,English 
2476,Male,No,18,No,Healthcare,,Hyundai,Germany ,2016,32000,Petrol,German
2477,Male,No,30,No,Doctor,4,Infiniti,USA,2010,60000,Petrol,English 
2478,Male,No,20,No,Healthcare,3,Isuzu,Germany ,2011,45000,Petrol,German
2479,Male,Yes,84,No,Lawyer,2,Jaguar,USA,2012,30000,Petrol,English 
2480,Female,No,42,Yes,Engineer,1,Jeep,Mexico,2013,15000,Petrol,English 
2481,Male,No,28,Yes,Doctor,1,Kia,Malaysia,2014,15000,Petrol,English 
2482,Male,Yes,73,Yes,Lawyer,2,Lamborghini,Japan,2015,30000,Petrol,Japanese
2483,Female,Yes,61,Yes,Lawyer,4,Land Rover,Canada,2016,60000,Petrol,English 
2484,Female,Yes,42,Yes,Artist,1,Lexus,China ,2012,15000,Petrol,Mandarin
2485,Male,Yes,49,Yes,Artist,2,Lotus,India,2013,30000,Petrol,English 
2486,Female,Yes,84,Yes,Lawyer,2,Maserati,Italy,2014,30000,Petrol,French
2487,Male,No,22,No,Healthcare,4,Maybach,China ,2015,60000,Petrol,Mandarin
2488,Female,No,42,Yes,Engineer,1,Mazda,France,2016,15000,Petrol,English 
2489,Female,No,31,No,Doctor,4,McLaren,Italy,2017,60000,Petrol,French
2490,Female,Yes,49,Yes,Artist,4,Mercedes-Benz,France,2018,60000,Petrol,English 
2491,Male,Yes,58,Yes,Artist,2,MG,UK,2016,30000,Petrol,English 
2492,Male,Yes,72,Yes,Artist,5,MINI,UK,2017,75000,Petrol,English 
2493,Male,Yes,45,Yes,Artist,4,Mitsubishi,USA,2018,60000,Petrol,English 
2494,Male,Yes,49,Yes,Entertainment,5,Nissan,Germany ,2008,75000,Petrol,German
2495,Female,No,20,No,Marketing,3,Nissan,USA,2009,45000,Petrol,English 
2496,Female,No,31,No,,4,Peugeot,Germany ,2010,60000,Petrol,German
2497,Male,Yes,50,Yes,Artist,2,Porsche,USA,2011,30000,Petrol,English 
2498,Female,No,65,No,Lawyer,1,Proton,Germany ,2010,15000,Petrol,German
2499,Female,Yes,78,Yes,Lawyer,2,Renault,USA,2011,30000,Petrol,English 
2500,Female,Yes,45,Yes,Artist,3,Rolls-Royce,Germany ,2012,45000,Petrol,German
2501,Male,Yes,29,No,Healthcare,4,Rover,USA,2013,60000,Petrol,English 
2502,Male,No,25,No,Healthcare,3,Saab,Germany ,2020,45000,Hybrid,German
2503,Female,Yes,62,No,Doctor,5,SEAT,USA,2021,75000,Hybrid,English 
2504,Female,No,28,Yes,Healthcare,1,SKODA,Germany ,2020,15000,Hybrid,German
2505,Female,Yes,49,No,Engineer,1,Smart,USA,2021,15000,Hybrid,English 
2506,Male,No,29,Yes,Artist,1,Ssangyong,Mexico,2016,15000,Petrol,English 
2507,Male,No,52,Yes,Artist,1,Subaru,Malaysia,2017,15000,Petrol,English 
2508,Male,No,23,No,Healthcare,4,Suzuki,Japan,2018,60000,Petrol,Japanese
2509,Male,No,18,No,Healthcare,3,Tesla,Canada,2019,45000,Electric,English 
2510,Male,Yes,26,Yes,Artist,2,Toyota,China ,2009,30000,Petrol,Mandarin
2511,Male,Yes,51,No,Executive,4,TVR,India,2010,60000,Petrol,Gujrati
2512,Male,Yes,27,No,Executive,3,Vauxhall,Italy,2011,45000,Petrol,French
2513,Male,No,20,No,Healthcare,3,Volkswagen,China ,2012,45000,Petrol,Mandarin
