Release_Date,Title,Overview,Genre
22/12/2021,A Journal for Jordan,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.","Drama, Romance"
21/12/2021,Grumpy Christmas,"Bitter, grumpy patriarch Don Servando and his family travel to spend Christmas with Doña Alicia, a relative who becomes his ""ultimate nemesis"". It may be Christmas, but Don Servando is set on proving to everyone that Doña Alicia is a terrible person.",Comedy
17/12/2021,Mother/Android,"Georgia and her boyfriend Sam go on a treacherous journey to escape their country, which is caught in an unexpected war with artificial intelligence. Days away from the arrival of their first child, the couple must face No Man’s Land—a stronghold of the android uprising—in hopes of reaching safety before giving birth.","Science Fiction, Thriller"
17/12/2021,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.","Crime, Action, Thriller"
17/12/2021,Chief Daddy 2: Going for Broke,"The Beecroft family are ready to spend all of Chief Daddy's inheritance, but not if the CEO of his company has anything to do with it.",Comedy
17/12/2021,Mamá o papá,"Flora and Victor are fun, modern, caring parents. That is, until they decide to get a divorce, and the perfect job opportunity turns up for them. They now have one problem: custody.","Comedy, Family"
17/12/2021,The Tender Bar,"J.R. is a fatherless boy growing up in the glow of a bar where the bartender, his Uncle Charlie, is the sharpest and most colorful of an assortment of quirky and demonstrative father figures. As the boy’s determined mother struggles to provide her son with opportunities denied to her — and leave the dilapidated home of her outrageous if begrudgingly supportive father — J.R. begins to gamely, if not always gracefully, pursue his romantic and professional dreams, with one foot persistently placed in Uncle Charlie’s bar.",Drama
17/12/2021,Swan Song,"In the near future, Cameron Turner is diagnosed with a terminal illness. Presented with an experimental solution to shield his wife and son from grief, he grapples with altering their fate.","Drama, Science Fiction"
16/12/2021,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.","Science Fiction, Action, Adventure"
16/12/2021,The Lost Daughter,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,Drama
16/12/2021,A Naija Christmas,Three sons try to make their mother’s dreams come true by bringing home wives for Christmas.,"Comedy, Romance"
16/12/2021,South Park: Post COVID: The Return of COVID,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.","Animation, Comedy, TV Movie"
16/12/2021,Pushpa: The Rise - Part 1,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.","Action, Drama, Thriller"
16/12/2021,A California Christmas: City Lights,"Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city.","Romance, Comedy, Drama"
15/12/2021,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","Action, Adventure, Science Fiction"
15/12/2021,Vicky and Her Mystery,"Stéphane decides to move to the beautiful mountains of Cantal in order to reconnect with his 8-year-old daughter, Victoria, who has been silent since her mother's disappearance. During a walk in the forest, a shepherd gives Victoria a puppy named ""Mystery"" who will gradually give her a taste for life. But very quickly, Stéphane discovers that the animal is in reality a wolf… Despite the warnings and the danger of this situation, he cannot bring himself to separate his daughter from this seemingly harmless ball of hair.","Adventure, Family, Drama"
15/12/2021,Rumble,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father’s footsteps by coaching a loveable underdog monster into a champion.","Family, Comedy, Animation"
15/12/2021,A Hero,"Rahim is in prison because of a debt he was unable to repay. During a two-day leave, he tries to convince his creditor to withdraw his complaint against the payment of part of the sum. But things don't go as planned. Is he truly a hero?","Drama, Thriller"
11/12/2021,Operation Merry Christmas: The Elf Con,"The plan of three small-time pickpockets to pull the heist of their lives during Christmas, posing as elves in a Christmas show in one of the most exclusive shopping centers in the city where they will collect private information from some wealthy families, then rob their homes while they enjoy their December vacation.","Comedy, Crime"
10/12/2021,Anonymously Yours,"After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they've met in real life.","Drama, Romance"
10/12/2021,Being the Ricardos,Lucille Ball and Desi Arnaz face a crisis that could end their careers and another that could end their marriage.,"Drama, History"
10/12/2021,American Refugee,A story of a family seeking shelter in a neighbor’s bunker while the American economy is in collapse and the nation under martial law. There they find the danger inside is potentially greater than the danger outside.,"Horror, Thriller"
09/12/2021,Snoopy Presents: For Auld Lang Syne,"After finding out her grandmother won't be visiting for Christmas, Lucy decides to cheer herself up by throwing the ultimate New Year's Eve party. Meanwhile, Charlie Brown tries to fulfill one of his resolutions before the clock strikes midnight.","Animation, Family"
09/12/2021,The Hating Game,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.","Comedy, Romance"
09/12/2021,Asakusa Kid,"In 1965, Takeshi Kitano drops out of a university and enters the Asakusa France Za, which is a performance theater. He becomes an apprentice to Senzaburo Fukami, who is a legendary entertainer. Senzaburo Fukami demands that Takeshi Kitano keep the mindset of an entertainer, not only on stage, but also in his daily life. Takeshi Kitano cultivates his dream of becoming an entertainer with other apprentices. Due to the popularity of TV, people attend the theater less and less, but Takeshi Kitano spends his youthful days with Senzaburo Fukami and other apprentices who are full of talent and unique personalities.",Drama
08/12/2021,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","Drama, Romance, Crime"
07/12/2021,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,"Comedy, Drama, Science Fiction"
06/12/2021,David and the Elves,"Christmas is drawing near, but it’s not a happy time for David. After moving to a big city, his parents have been bogged down with work and forgotten the meaning of Christmas. David decides to change that. Together with Albert the Elf, who escaped from the land of Santa to figure out what Christmas is all about, David sets off to Tatra Mountains, where his grandparents live, on a journey full of adventures.","Family, Fantasy, Comedy"
05/12/2021,The Tragedy of Macbeth,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.","Drama, War"
03/12/2021,Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,"Animation, Comedy, Family"
03/12/2021,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.","Animation, Family, Adventure, Comedy"
03/12/2021,Encounter,"A decorated Marine goes on a rescue mission to save his two young sons from an unhuman threat. As their journey takes them in increasingly dangerous directions, the boys will need to leave their childhoods behind.","Adventure, Drama"
03/12/2021,Last Shoot Out,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.","Western, Action, Thriller"
03/12/2021,Christmas ...Again?!,"Rowena ""Ro"" is a high-spirited 11-year-old hoping to add more spunk to her Christmas celebrations when her parents’ divorce is going anything but smoothly.","Family, Comedy, Fantasy, TV Movie"
03/12/2021,Shaun the Sheep: The Flight Before Christmas,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,"Animation, Comedy, Family"
03/12/2021,Mixtape,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother - who struggles talking about her late daughter - Beverly sees the mixtape as a chance to finally learn more about her parents.","Comedy, Family"
03/12/2021,Silent Night,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.","Horror, Comedy, Drama"
03/12/2021,Red Rocket,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.","Comedy, Drama"
03/12/2021,The Scary of Sixty-First,Two roommates’ lives are upended after finding out that their new Manhattan apartment harbors a dark secret.,"Horror, Mystery, Thriller, Comedy"
02/12/2021,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,"Crime, Drama, Thriller"
02/12/2021,The Whole Truth,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family.",Horror
02/12/2021,Mickey and Minnie Wish Upon a Christmas,"After a series of mishaps, Mickey, Minnie and the gang are separated all over the world and must try to get back to Hot Dog Hills by Christmas Eve. A mysterious and jolly stranger shows up to tell them about The Wishing Star, which could be the secret to bringing everybody home in time to celebrate together.",Animation
02/12/2021,Single All the Way,"Desperate to avoid his family’s judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they’re now in a relationship. But when Peter’s mother sets him up on a blind date with her handsome trainer James, the plan goes awry.","Romance, Comedy, Drama"
02/12/2021,Toys of Terror,"A big family moves into a dusty old house in the snowy woods of Washington with hopes of it being a nice holiday escape. But the kids soon discover a stash of old toys that just so happen to belong to a creepy ghost boy. As stranger and stranger things start to happen, some of the kids begin to sense that something in the house is not quite right…",Horror
02/12/2021,Last Looks,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.","Action, Crime, Thriller, Mystery"
02/12/2021,The Pilot. A Battle for Survival,"December of 1941, Northwestern Front. A German tank column is moving towards Moscow. During a mission to stop the enemy advance, Nikolai Komlev's IL-2 is shot down. Komlev manages to crash-land his plane in a remote forest clearing. He's alive, but far from friendly territory. Ahead of him is a relentless trial of severe physical and mental endurance. After battling hunger and extreme cold, evading packs of wolves and detachments of Nazi soldiers, the wounded Komlev finally makes it back to safety. But there he faces another challenge, the most life-changing of them all.","War, Drama, History"
02/12/2021,The Survivalist,"A year and a half after the fall of civilization from a virus outbreak, a former FBI agent is forced to protect a young woman, who is immune to the disease, from a dangerous gang hunting her led by a psychopath who believes he’s going to use her to save the world.","Thriller, Mystery, Action"
01/12/2021,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.","Animation, Comedy, Family, Music"
26/11/2021,Trolls Holiday in Harmony,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.","Animation, Fantasy, Family"
26/11/2021,Licorice Pizza,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Drama, Comedy"
26/11/2021,El refugio,"An actor in low hours and a young interpreter who threatens to displace the former thanks to the tricks of their agent; the owner of the high mountain hotel and her estranged sister, creator of a new and unique discipline that mixes yoga and fengshui; a group of children wanting to have fun, but also to discover hidden secrets; a taciturn bellboy who sees everything; and a tremendous storm that will leave everyone isolated just before Christmas. A weekend in which everything can happen, and in which everything will happen.",Comedy
26/11/2021,A Castle for Christmas,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle -- and faces off with the grumpy duke who owns it.","Romance, Comedy, Family"
25/11/2021,A Boy Called Christmas,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…","Family, Adventure, Fantasy"
25/11/2021,"Diego, The Last Goodbye","The last year in the life of Diego Maradona told by friends, family and former companions reveals his deep humanity. In the midst of the Covid 19 pandemic, a Maradonian funeral sends him away amid tears, songs and tear gas.",Documentary
25/11/2021,South Park: Post COVID,"What happened to the children who lived through the Pandemic? Stan, Kyle, Cartman and Kenny survived but will never be the same Post Covid.","Animation, Comedy, TV Movie"
25/11/2021,Cam Girls,"Jenna, Kelly and Ness have all found themselves isolated around lockdown. With little to do around the homes, and a lot of time on their hands, the girls interact with one another discussing their new sexual desires becoming unleashed with their partners via the internet. Diving into the world of BDSM, group and infidelity, will the ladies want to go further with these experimental sexual acts when they leave lockdown?",Romance
24/11/2021,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.","Animation, Comedy, Family, Fantasy"
24/11/2021,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.","Horror, Action, Science Fiction"
24/11/2021,House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder.","Drama, Crime, Thriller"
24/11/2021,Far From the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.","Animation, Family"
24/11/2021,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,"Drama, Crime"
24/11/2021,The Hand of God,"In 1980s Naples, Italy, an awkward Italian teen struggling to find his place experiences heartbreak and liberation after he's inadvertently saved from a freak accident by football legend Diego Maradona.",Drama
24/11/2021,8-Bit Christmas,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.","Family, Comedy"
22/11/2021,La Cantera,"A family tragedy hits an Arequipa family. A young man, convinced that the tragedy is going unpunished, decides to take justice into his own hands.",Drama
20/11/2021,A Christmas Together With You,"During the Christmas season, Megan and her father-figure Frank head out on a road trip to find his long-lost love. Along the way, Megan finds the love of her own life.","TV Movie, Romance, Drama"
19/11/2021,Dhamaka,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.","Thriller, Drama, Crime"
19/11/2021,Boiling Point,A head chef balances multiple personal and professional crises at a popular restaurant in London.,"Thriller, Drama"
19/11/2021,A House on the Bayou,"In an effort to reconnect and mend their relationship, a troubled couple and their preteen daughter seek an idyllic getaway to a remote mansion in rural Louisiana. But when unexpected visitors arrive, their facade of family unity starts to unravel, as terrifying secrets come to light.","Horror, Thriller"
19/11/2021,C'mon C'mon,Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,Drama
19/11/2021,Love Me Instead,"One day, Sedat, who works as a prison guard in Konya, is given the duty to take one of the prisoners, Musa, to his hometown. Musa does not intend to return until he finds out why his daughter was killed.",Drama
19/11/2021,Black Friday,A group of toy store employees must protect each other from a horde of parasite infected shoppers.,"Horror, Comedy, Science Fiction"
18/11/2021,Zeros and Ones,"Called to Rome to stop an imminent terrorist bombing, a soldier desperately seeks news of his imprisoned brother — a rebel with knowledge that could thwart the attack. Navigating the capital's darkened streets, he races to a series of ominous encounters to keep the Vatican from being blown to bits.","Thriller, War"
18/11/2021,King Richard,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.","Drama, History"
18/11/2021,The Princess Switch 3: Romancing the Star,"A priceless relic is stolen from identical royals Queen Margaret and Princess Stacy, who enlist the help of their sketchy look-alike cousin Fiona Pembroke to retrieve it.","Romance, Comedy"
18/11/2021,I Am Mortal,"Set 200 years in the future, a small band of rebels face off against the status quo where humans have achieved immortality through genetic engineering","Science Fiction, Fantasy, Drama"
18/11/2021,Just Short of Perfect,"A divorced lawyer falls for a charismatic cardiologist. But when their difference in size leads to family friction, is she ready to listen to her heart?","Romance, Comedy"
18/11/2021,Mission «Sky»,"In the center of the story are three main characters - Lieutenant Colonel Soshnikov, Captain Muravyov and Major Zakharov. Three ages, three different characters, three different destinies, which are destined to meet at the Khmeimim military base.","Drama, War"
17/11/2021,The Power of the Dog,"A domineering but charismatic rancher wages a war  of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.","Drama, Western"
17/11/2021,Bruised,"Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight, she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power, in and out of the ring, when everyone has counted her out",Drama
15/11/2021,Never Back Down: Revolt,An amateur fighter is lured by a trafficking syndicate specializing in elite underground fighting where her brutal captor forces her to fight or face certain death.,Action
12/11/2021,The Simpsons in Plusaversary,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.","Animation, Comedy, Fantasy"
12/11/2021,Ciao Alberto,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.","Animation, Comedy, Family, Fantasy"
12/11/2021,Apex,"Ex-cop Thomas Malone is serving a life sentence for a crime he didn’t commit. He is offered a chance at freedom if he can survive a deadly game of Apex, in which six hunters pay for the pleasure of hunting another human on a remote island. He accepts, and once he arrives, all hell breaks loose.","Action, Thriller, Science Fiction"
12/11/2021,Home Sweet Home Alone,"After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.","Family, Comedy"
12/11/2021,The Belly of the Sea,"June, 1816. A French navy frigate ran aground on a sandbar off the coast of Senegal. Attempts to free the board were futile - the crew had no choice but to abandon ship. Since the available boats were not enough to accommodate the entire crew, the team built a raft. It accommodated 147 people: soldiers, sailors, several passengers and officers. The plan was for the boats to tow the raft. But the cable broke and the raft drifted into the open sea. For those who were on the raft, a harsh and cruel struggle for life began.",Drama
12/11/2021,Belfast,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",Drama
12/11/2021,14 Peaks: Nothing Is Impossible,"In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.",Documentary
12/11/2021,Detetive Madeinusa,"A bumbling new detective is hired by a billionaire lobbyist to investigate the theft of a prized ox. To unravel the peculiar case, he forms an unbeatable team with his assistant Uóston, the waitress and psychic Marcela, the detective accessories store clerk Larissa and the hacker Zuleide. Together, they embark on a fun investigation.",Comedy
12/11/2021,Procession,Six men who were sexually abused by Catholic clergy as boys find empowerment by creating short films inspired by their trauma.,Documentary
12/11/2021,Mahjong Nights,Alexa witnesses a simple mahjong night turned bloody when all the player's dark secrets are discovered - including Alexa's illicit affair with her stepfather.,Thriller
11/11/2021,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Fantasy, Comedy, Adventure"
11/11/2021,"tick, tick... BOOM!","On the cusp of his 30th birthday, Jonathon Larson, a promising young theater composer, navigates love, friendship, and the pressures of life as an artist in New York City.",Drama
11/11/2021,Flashback,A woman lawyer travels back in time and crosses paths with other women in history who fought for women's rights.,Comedy
11/11/2021,Row 19,"A young female doctor and her 6-year-old daughter are on an overnight flight in a violent storm. When passengers on the half-empty plane inexplicably begin to die, the woman’s grip on reality weakens and she is forced to relive her worst childhood nightmare.",Horror
10/11/2021,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.","Family, Adventure, Comedy, Fantasy"
10/11/2021,Happiness Ever After,"This sequel to ""Happiness is a Four-Letter Word"" finds Zaza, Princess and Zim living new chapters of their lives amid loss, family grudges and new love.","Romance, Drama"
09/11/2021,Dear Rider: The Jake Burton Story,An irreverent entrepreneur overcomes a series of adversities to create a new sport- and unexpectedly launches a global cultural phenomenon: snowboarding.,Documentary
07/11/2021,Father Christmas Is Back,"Four sisters – Caroline, Joanna, Paulina, and Vicky – reunite for the Christmas Holiday in a Yorkshire mansion. However, their estranged father, James, joins in for the first time since he left the family behind decades prior. The group attempts to get through the holiday despite comedic misunderstandings, while also uncovering the long-buried secret that tore their family apart, so many years ago.","Comedy, Family"
05/11/2021,One Shot,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",Action
05/11/2021,Dangerous,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.","Action, Thriller"
05/11/2021,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.","Action, Crime, Thriller"
05/11/2021,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.","Crime, Thriller, Drama, Action"
05/11/2021,We Couldn't Become Adults,"Prodded by a friend request, a feckless forty-something recalls his past relationships from the 90s onward, looking for his vanished hopes and dreams.","Drama, Romance"
05/11/2021,Love Hard,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.","Comedy, Romance"
04/11/2021,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.","Action, Comedy, Crime, Thriller"
04/11/2021,Finch,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.","Science Fiction, Drama, Adventure"
04/11/2021,Amina,"In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family's kingdom. Based on a true story.","War, History, Drama"
04/11/2021,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",Drama
03/11/2021,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",Science Fiction
03/11/2021,Lords of Scam,This documentary traces the rise and crash of scammers who conned the EU carbon quota system and pocketed millions before turning on one another.,Documentary
03/11/2021,"Paris, 13th District","Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – They’re friends, sometimes lovers and often both.","Drama, Romance"
02/11/2021,Skipping Stones,"Nearly a decade after a tragic accident costs a young man his life, his sister, Amanda (Gabrielle Kalomiris) and best friend, David (Nathaniel Ansbach) are still peeling back the layers of grief and guilt that come with being left behind.",Drama
02/11/2021,Single Mother by Choice,"Tracking a real-life pregnancy, this fictional film tells the story of a Latinx workaholic who’s determined to have a baby on her own terms and gets more than she bargained for when she gets pregnant in the year 2020.","Comedy, Drama"
30/10/2021,Sword Art Online the Movie -Progressive- Aria of a Starless Night,"One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night...","Animation, Action, Fantasy, Science Fiction"
29/10/2021,Paranormal Activity: Next of Kin,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.","Horror, Mystery, Thriller"
29/10/2021,The Burning Sea,"An oil platform dramatically goes down on the Norwegian coast, and researchers try to find out what happened when they realize this is just the start of something even more serious.","Action, Drama, Thriller"
29/10/2021,Compartment No. 6,"A young Finnish woman escapes an enigmatic love affair in Moscow by boarding a train to the arctic port of Murmansk. Forced to share the long ride and a tiny sleeping car with a larger than life Russian miner, the unexpected encounter leads the occupants of Compartment No. 6 to face major truths about human connection.",Drama
29/10/2021,13 Minutes,"As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive.",Drama
28/10/2021,Antlers,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.","Drama, Horror, Mystery"
28/10/2021,Seal Team,"After his best friend is killed in a shark attack, Quinn, a lovable yet tenacious seal assembles a SEAL TEAM to fight back against a gang of sharks overtaking the neighborhood. But this merry band of international seals are not at all trained for such a mission. They seek the help of a much more skillful combatant, Claggart, but even his tricks and flips can’t whip these guys into shape. However, with a little bit of ingenuity, intelligence and a lot of heart, our SEAL TEAM may actually be able to bring peace back to their undersea community.","Animation, Family, Comedy"
28/10/2021,Freaks Out,Four circus freaks with superpowers find themselves trapped in Nazi-occupied Rome after their owner and father figure goes missing in the aftermath of the 1943 surrender of Italy to the Allies.,"Adventure, Action, Science Fiction"
28/10/2021,A Cop Movie,"This documentary walks the line between fact and fiction, delving into corruption in the Mexican police through the experiences of two officers.","Documentary, Action, Crime"
27/10/2021,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,"Crime, Comedy"
27/10/2021,Nobody Sleeps in the Woods Tonight 2,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.","Horror, Thriller, Comedy"
27/10/2021,Bordertown: The Mural Murders,"A mural painted with blood is found on the wall of Pasila train station, which depicts Finland's best-known serial killer Lasse Maasalo. The text in the mural, “Making the world a better place”, is linked to a voting circulating in social media, where people can vote for persons that world would be a better place without. Soon the first body is found and Sorjonen must find the person who has named himself as The Judge.",Crime
27/10/2021,Hypnotic,"A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.","Thriller, Drama, Horror"
27/10/2021,Passing,"In 1920s New York City, a Black woman finds her world upended when her life becomes intertwined with a former childhood friend who's passing as white.",Drama
